Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_3 7 (Omykiss),Search_Forage 76,0:00:04:15.00/60000,255,-24.070284,-18.485428,9.21981,0.489973,5.689147,59.828766,
Subsample_3 7 (Omykiss),Search_Forage 78,0:00:04:21.00/60000,261,-11.479877,-10.730387,4.140819,0.181711,2.138727,67.659676,
Subsample_3 7 (Omykiss),Search_Forage 79,0:00:04:24.00/60000,264,-30.743015,-4.433945,12.938672,0.078058,1.099841,71.949684,
Subsample_3 7 (Omykiss),Search_Forage 80,0:00:04:27.00/60000,267,-40.139664,-7.786885,20.070822,0.24628,4.701685,69.895813,
Subsample_3 7 (Omykiss),Length 82,0:00:04:16.52397/60000,256.873291,12.802651,-13.805452,-2.287346,0.102219,4.252266,72.487137,
Subsample_3 7 (Omykiss),Length 82,0:00:04:16.52397/60000,256.873291,6.297358,-11.75192,-1.38226,0.130047,3.786388,72.023537,
Subsample_3 7 (Omykiss),Length 81,0:00:04:19.44569/60000,259.742828,6.39659,-16.149265,0.447475,0.182102,3.9355,67.574707,
Subsample_3 7 (Omykiss),Length 81,0:00:04:19.44569/60000,259.742828,-0.345369,-14.78484,1.907328,0.213548,5.249864,66.388603,
Subsample_3 7 (Omykiss),Length 83,0:00:04:20.33618/60000,260.560303,-8.160557,-12.538527,3.318793,0.211172,2.891336,66.640717,
Subsample_3 7 (Omykiss),Length 83,0:00:04:20.33618/60000,260.560303,-1.30347,-13.721571,1.602499,0.202903,4.029714,67.273888,
Subsample_4 8 (Omykiss),Movement 84,0:00:05:30.00/60000,330,25.155287,-6.305368,-6.572545,0.013343,1.245424,81.267548,
Subsample_4 8 (Omykiss),Movement 85,0:00:05:33.00/60000,333,25.285204,-6.058067,-6.685866,0.014139,0.486967,81.547089,
Subsample_4 8 (Omykiss),Movement 86,0:00:05:36.00/60000,336,24.950783,-6.555992,-6.254114,0.012037,0.115104,80.866211,
Subsample_4 8 (Omykiss),Movement 87,0:00:05:39.00/60000,339,25.292545,-6.001104,-6.609025,0.014129,0.955153,81.553001,
Subsample_4 8 (Omykiss),Movement 88,0:00:05:42.00/60000,342,21.626997,-5.883866,-5.529367,0.003434,0.774026,80.808235,
Subsample_4 8 (Omykiss),Movement 89,0:00:05:45.00/60000,345,20.542709,-5.718429,-5.635641,0.007862,2.017593,80.960518,
Subsample_4 8 (Omykiss),Movement 90,0:00:05:48.00/60000,348,15.15569,-6.767297,-3.803124,0.03699,2.115511,79.091324,
Subsample_4 8 (Omykiss),Movement 91,0:00:05:51.00/60000,351,11.126289,-6.936475,-0.837228,0.054193,1.618293,76.809685,
Subsample_4 8 (Omykiss),Movement 93,0:00:05:57.00/60000,357,4.086952,-6.897331,1.945375,0.078063,2.451236,73.641251,
Subsample_4 8 (Omykiss),Movement 92,0:00:05:54.00/60000,354,6.872698,-6.749449,1.395388,0.067268,1.901978,74.667542,
Subsample_4 8 (Omykiss),Movement 94,0:00:06:00.00/60000,360,-0.116692,-8.393586,2.771147,0.108013,2.670552,71.207382,
Subsample_4 9 (Omykiss),Attack 95,0:00:05:48.00/60000,348,44.372398,-29.070122,1.998713,0.495461,3.353439,63.31992,
Subsample_4 9 (Omykiss),Movement 98,0:00:06:00.00/60000,360,41.77066,-38.723442,5.543962,0.638143,4.112716,53.515507,
Subsample_4 9 (Omykiss),Movement 96,0:00:05:54.00/60000,354,109.714851,11.148222,-22.020039,0.034122,7.729868,138.849884,
Subsample_4 9 (Omykiss),Movement 97,0:00:05:57.00/60000,357,40.734455,-30.401579,2.789615,0.458473,2.062592,60.460087,
Subsample_4 9 (Omykiss),Length 99,0:00:05:48.1861/60000,348.031006,35.846069,-26.432909,0.903273,0.270725,0.61253,62.864891,
